latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,240,194923,0.7746,0.6982,0.7304,0.8958,0.4555,0.8002,0.7220,0.7787
1,239,194923,0.7750,0.6987,0.7310,0.8957,0.4567,0.8005,0.7234,0.7790
2,238,194923,0.7757,0.6996,0.7316,0.8960,0.4576,0.8013,0.7239,0.7791
3,237,194923,0.7751,0.6988,0.7312,0.8960,0.4578,0.8001,0.7237,0.7783
4,236,194923,0.7754,0.6992,0.7315,0.8961,0.4586,0.8005,0.7234,0.7786
5,235,194923,0.7756,0.6994,0.7317,0.8961,0.4592,0.8007,0.7236,0.7790
6,234,194923,0.7749,0.6986,0.7310,0.8956,0.4580,0.8004,0.7235,0.7776
7,233,194923,0.7750,0.6987,0.7312,0.8952,0.4587,0.8006,0.7239,0.7774
8,232,194923,0.7751,0.6988,0.7310,0.8955,0.4585,0.8009,0.7237,0.7763
9,231,194923,0.7748,0.6984,0.7308,0.8955,0.4584,0.7999,0.7234,0.7766
10,230,194923,0.7752,0.6988,0.7311,0.8955,0.4586,0.8002,0.7240,0.7772
11,229,194923,0.7752,0.6989,0.7311,0.8957,0.4591,0.8001,0.7242,0.7765
12,228,194923,0.7751,0.6988,0.7313,0.8953,0.4609,0.8006,0.7243,0.7754
13,227,194923,0.7749,0.6984,0.7308,0.8953,0.4596,0.8001,0.7231,0.7760
14,226,194923,0.7748,0.6983,0.7307,0.8952,0.4604,0.8000,0.7230,0.7750
15,225,194923,0.7741,0.6975,0.7302,0.8948,0.4584,0.7990,0.7232,0.7757
16,224,194923,0.7730,0.6961,0.7288,0.8944,0.4582,0.7980,0.7201,0.7735
17,223,194923,0.7733,0.6964,0.7290,0.8945,0.4588,0.7982,0.7194,0.7739
18,222,194923,0.7717,0.6943,0.7274,0.8934,0.4560,0.7963,0.7183,0.7731
19,221,194923,0.7719,0.6945,0.7276,0.8938,0.4570,0.7961,0.7180,0.7729
20,220,194923,0.7711,0.6935,0.7267,0.8930,0.4561,0.7956,0.7175,0.7715
21,219,194923,0.7706,0.6928,0.7259,0.8927,0.4556,0.7951,0.7144,0.7717
22,218,194923,0.7693,0.6911,0.7247,0.8920,0.4532,0.7932,0.7138,0.7712
23,217,194923,0.7684,0.6899,0.7236,0.8917,0.4523,0.7922,0.7122,0.7695
24,216,194923,0.7677,0.6889,0.7227,0.8913,0.4495,0.7914,0.7121,0.7694
25,215,194923,0.7668,0.6877,0.7218,0.8907,0.4490,0.7903,0.7099,0.7690
26,214,194923,0.7664,0.6871,0.7212,0.8905,0.4483,0.7897,0.7079,0.7694
27,213,194923,0.7654,0.6858,0.7199,0.8901,0.4467,0.7885,0.7048,0.7693
28,212,194923,0.7650,0.6852,0.7193,0.8899,0.4464,0.7881,0.7047,0.7672
29,211,194923,0.7647,0.6849,0.7192,0.8897,0.4461,0.7878,0.7046,0.7678
30,210,194923,0.7772,0.7016,0.7326,0.8966,0.4593,0.8035,0.7228,0.7806
31,209,194923,0.7772,0.7015,0.7327,0.8968,0.4603,0.8029,0.7228,0.7805
32,208,194923,0.7773,0.7018,0.7329,0.8968,0.4609,0.8032,0.7233,0.7804
33,207,194923,0.7774,0.7018,0.7330,0.8969,0.4609,0.8029,0.7247,0.7797
34,206,194923,0.7777,0.7022,0.7331,0.8974,0.4618,0.8031,0.7234,0.7800
35,205,194923,0.7777,0.7023,0.7333,0.8972,0.4630,0.8033,0.7232,0.7796
36,204,194923,0.7771,0.7015,0.7327,0.8967,0.4621,0.8026,0.7230,0.7792
37,203,194923,0.7767,0.7010,0.7324,0.8961,0.4608,0.8027,0.7233,0.7790
38,202,194923,0.7776,0.7021,0.7331,0.8968,0.4623,0.8036,0.7242,0.7783
39,201,194923,0.7775,0.7019,0.7328,0.8969,0.4627,0.8030,0.7224,0.7791
40,200,194923,0.7775,0.7019,0.7329,0.8965,0.4626,0.8031,0.7237,0.7787
41,199,194923,0.7770,0.7012,0.7324,0.8968,0.4625,0.8022,0.7231,0.7773
42,198,194923,0.7773,0.7016,0.7328,0.8964,0.4638,0.8029,0.7236,0.7775
43,197,194923,0.7769,0.7011,0.7323,0.8960,0.4636,0.8027,0.7221,0.7770
44,196,194923,0.7768,0.7010,0.7322,0.8959,0.4639,0.8025,0.7222,0.7768
45,195,194923,0.7760,0.7000,0.7315,0.8957,0.4619,0.8013,0.7219,0.7767
46,194,194923,0.7753,0.6990,0.7306,0.8954,0.4618,0.8004,0.7202,0.7753
47,193,194923,0.7751,0.6988,0.7303,0.8947,0.4619,0.8005,0.7188,0.7758
48,192,194923,0.7734,0.6965,0.7286,0.8943,0.4588,0.7982,0.7174,0.7741
49,191,194923,0.7739,0.6972,0.7289,0.8944,0.4600,0.7990,0.7174,0.7734
50,190,194923,0.7730,0.6959,0.7278,0.8938,0.4590,0.7980,0.7161,0.7722
51,189,194923,0.7723,0.6950,0.7271,0.8933,0.4578,0.7971,0.7146,0.7729
52,188,194923,0.7707,0.6929,0.7255,0.8924,0.4553,0.7951,0.7128,0.7720
53,187,194923,0.7706,0.6927,0.7252,0.8921,0.4549,0.7949,0.7123,0.7717
54,186,194923,0.7695,0.6913,0.7241,0.8919,0.4526,0.7935,0.7110,0.7713
55,185,194923,0.7685,0.6899,0.7229,0.8913,0.4523,0.7923,0.7085,0.7703
56,184,194923,0.7684,0.6897,0.7227,0.8913,0.4514,0.7922,0.7081,0.7703
57,183,194923,0.7672,0.6882,0.7212,0.8909,0.4497,0.7907,0.7051,0.7698
58,182,194923,0.7666,0.6873,0.7202,0.8903,0.4482,0.7904,0.7038,0.7685
59,181,194923,0.7669,0.6876,0.7206,0.8907,0.4481,0.7904,0.7053,0.7684
60,180,194923,0.7788,0.7036,0.7334,0.8976,0.4613,0.8054,0.7221,0.7804
61,179,194923,0.7789,0.7038,0.7338,0.8978,0.4635,0.8051,0.7223,0.7803
62,178,194923,0.7794,0.7045,0.7341,0.8981,0.4636,0.8058,0.7234,0.7798
