latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,360,194611,0.7439,0.6593,0.6957,0.8954,0.4147,0.7543,0.6789,0.7351
1,359,194611,0.7455,0.6615,0.6961,0.8987,0.4165,0.7535,0.6754,0.7362
2,358,194611,0.7471,0.6635,0.6971,0.8994,0.4177,0.7556,0.6767,0.7360
3,357,194611,0.7473,0.6638,0.6969,0.9002,0.4166,0.7556,0.6760,0.7362
4,356,194611,0.7464,0.6627,0.6975,0.8986,0.4200,0.7554,0.6776,0.7358
5,355,194611,0.7469,0.6635,0.6976,0.8997,0.4201,0.7553,0.6756,0.7373
6,354,194611,0.7476,0.6644,0.6982,0.8996,0.4217,0.7567,0.6765,0.7366
7,353,194611,0.7483,0.6652,0.6991,0.8999,0.4231,0.7569,0.6778,0.7376
8,352,194611,0.7501,0.6675,0.6998,0.9011,0.4246,0.7595,0.6763,0.7376
9,351,194611,0.7507,0.6684,0.7003,0.9022,0.4258,0.7588,0.6758,0.7389
10,350,194611,0.7520,0.6699,0.7013,0.9026,0.4270,0.7612,0.6776,0.7382
11,349,194611,0.7526,0.6707,0.7018,0.9035,0.4288,0.7611,0.6769,0.7387
12,348,194611,0.7523,0.6703,0.7014,0.9028,0.4279,0.7614,0.6760,0.7386
13,347,194611,0.7523,0.6705,0.7014,0.9035,0.4287,0.7608,0.6753,0.7386
14,346,194611,0.7524,0.6706,0.7014,0.9033,0.4290,0.7613,0.6747,0.7388
15,345,194611,0.7532,0.6714,0.7020,0.9037,0.4305,0.7617,0.6751,0.7391
16,344,194611,0.7529,0.6711,0.7020,0.9037,0.4311,0.7609,0.6753,0.7388
17,343,194611,0.7531,0.6714,0.7022,0.9036,0.4326,0.7612,0.6750,0.7387
18,342,194611,0.7527,0.6708,0.7017,0.9036,0.4316,0.7605,0.6739,0.7388
19,341,194611,0.7524,0.6705,0.7015,0.9032,0.4319,0.7602,0.6735,0.7388
20,340,194611,0.7517,0.6696,0.7008,0.9031,0.4305,0.7594,0.6731,0.7378
21,339,194611,0.7519,0.6698,0.7012,0.9027,0.4318,0.7593,0.6738,0.7381
22,338,194611,0.7518,0.6696,0.7007,0.9027,0.4302,0.7593,0.6725,0.7390
23,337,194611,0.7516,0.6695,0.7009,0.9024,0.4317,0.7586,0.6723,0.7394
24,336,194611,0.7511,0.6687,0.7000,0.9023,0.4304,0.7583,0.6713,0.7378
25,335,194611,0.7508,0.6683,0.6996,0.9020,0.4300,0.7578,0.6696,0.7386
26,334,194611,0.7513,0.6689,0.7001,0.9021,0.4306,0.7585,0.6701,0.7394
27,333,194611,0.7507,0.6681,0.6992,0.9020,0.4300,0.7576,0.6677,0.7387
28,332,194611,0.7499,0.6671,0.6984,0.9019,0.4292,0.7562,0.6665,0.7382
29,331,194611,0.7499,0.6670,0.6983,0.9016,0.4289,0.7564,0.6662,0.7386
30,330,194611,0.7545,0.6732,0.7032,0.9057,0.4252,0.7611,0.6741,0.7498
31,329,194611,0.7552,0.6740,0.7038,0.9062,0.4267,0.7618,0.6739,0.7503
32,328,194611,0.7559,0.6751,0.7045,0.9063,0.4277,0.7631,0.6745,0.7509
33,327,194611,0.7566,0.6760,0.7055,0.9064,0.4314,0.7639,0.6754,0.7502
34,326,194611,0.7568,0.6763,0.7057,0.9067,0.4311,0.7643,0.6761,0.7504
