latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,195235,0.7795,0.7044,0.7318,0.8998,0.4591,0.8063,0.7199,0.7738
1,119,195235,0.7796,0.7045,0.7321,0.8996,0.4613,0.8065,0.7207,0.7723
2,118,195235,0.7802,0.7052,0.7324,0.9000,0.4626,0.8069,0.7200,0.7727
3,117,195235,0.7798,0.7047,0.7320,0.9000,0.4619,0.8066,0.7202,0.7713
4,116,195235,0.7804,0.7055,0.7328,0.9002,0.4647,0.8069,0.7201,0.7720
5,115,195235,0.7797,0.7047,0.7319,0.9001,0.4632,0.8065,0.7192,0.7704
6,114,195235,0.7794,0.7043,0.7314,0.8998,0.4629,0.8061,0.7173,0.7711
7,113,195235,0.7786,0.7032,0.7306,0.8989,0.4606,0.8059,0.7175,0.7702
8,112,195235,0.7796,0.7044,0.7316,0.8999,0.4623,0.8064,0.7192,0.7702
9,111,195235,0.7794,0.7042,0.7314,0.8996,0.4622,0.8064,0.7192,0.7696
10,110,195235,0.7790,0.7036,0.7310,0.8992,0.4634,0.8059,0.7178,0.7689
11,109,195235,0.7780,0.7024,0.7300,0.8990,0.4610,0.8047,0.7173,0.7678
12,108,195235,0.7784,0.7029,0.7302,0.8990,0.4620,0.8055,0.7172,0.7671
13,107,195235,0.7783,0.7028,0.7302,0.8987,0.4626,0.8052,0.7166,0.7679
14,106,195235,0.7782,0.7026,0.7298,0.8987,0.4617,0.8053,0.7163,0.7670
15,105,195235,0.7771,0.7012,0.7287,0.8980,0.4594,0.8039,0.7157,0.7664
16,104,195235,0.7764,0.7001,0.7275,0.8977,0.4588,0.8035,0.7135,0.7641
17,103,195235,0.7757,0.6992,0.7265,0.8972,0.4572,0.8030,0.7117,0.7632
18,102,195235,0.7748,0.6979,0.7257,0.8969,0.4567,0.8016,0.7114,0.7620
19,101,195235,0.7740,0.6970,0.7248,0.8968,0.4553,0.8006,0.7097,0.7616
20,100,195235,0.7736,0.6963,0.7243,0.8964,0.4551,0.7999,0.7090,0.7609
21,99,195235,0.7720,0.6943,0.7226,0.8955,0.4508,0.7987,0.7087,0.7593
22,98,195235,0.7712,0.6932,0.7218,0.8949,0.4504,0.7972,0.7065,0.7598
23,97,195235,0.7697,0.6911,0.7198,0.8941,0.4469,0.7960,0.7044,0.7575
24,96,195235,0.7688,0.6900,0.7189,0.8943,0.4475,0.7941,0.7019,0.7566
25,95,195235,0.7676,0.6883,0.7175,0.8932,0.4450,0.7932,0.7006,0.7553
26,94,195235,0.7666,0.6871,0.7163,0.8925,0.4424,0.7927,0.6991,0.7547
27,93,195235,0.7658,0.6859,0.7153,0.8924,0.4400,0.7913,0.6985,0.7545
28,92,195235,0.7648,0.6846,0.7139,0.8920,0.4383,0.7903,0.6954,0.7534
29,91,195235,0.7638,0.6832,0.7131,0.8916,0.4373,0.7888,0.6958,0.7519
30,90,195235,0.7772,0.7011,0.7272,0.9005,0.4532,0.8046,0.7147,0.7628
31,89,195235,0.7776,0.7016,0.7276,0.9003,0.4546,0.8055,0.7161,0.7616
32,88,195235,0.7778,0.7020,0.7279,0.9004,0.4553,0.8060,0.7159,0.7619
33,87,195235,0.7773,0.7012,0.7270,0.9006,0.4560,0.8050,0.7137,0.7598
34,86,195235,0.7775,0.7016,0.7274,0.9009,0.4562,0.8048,0.7140,0.7612
35,85,195235,0.7774,0.7015,0.7273,0.9010,0.4571,0.8046,0.7141,0.7598
36,84,195235,0.7766,0.7005,0.7265,0.9005,0.4563,0.8039,0.7126,0.7593
37,83,195235,0.7761,0.6997,0.7258,0.9002,0.4527,0.8041,0.7147,0.7573
38,82,195235,0.7770,0.7009,0.7268,0.9008,0.4552,0.8045,0.7156,0.7579
39,81,195235,0.7760,0.6997,0.7258,0.9000,0.4538,0.8040,0.7147,0.7563
40,80,195235,0.7755,0.6990,0.7252,0.8998,0.4543,0.8035,0.7125,0.7558
41,79,195235,0.7754,0.6989,0.7251,0.8997,0.4550,0.8031,0.7127,0.7549
42,78,195235,0.7751,0.6984,0.7244,0.8998,0.4536,0.8032,0.7116,0.7539
43,77,195235,0.7747,0.6978,0.7239,0.8991,0.4540,0.8027,0.7102,0.7538
44,76,195235,0.7739,0.6968,0.7231,0.8987,0.4515,0.8021,0.7108,0.7523
45,75,195235,0.7728,0.6953,0.7218,0.8981,0.4493,0.8007,0.7094,0.7514
46,74,195235,0.7715,0.6935,0.7202,0.8973,0.4474,0.7996,0.7076,0.7492
47,73,195235,0.7704,0.6921,0.7187,0.8967,0.4458,0.7985,0.7039,0.7485
48,72,195235,0.7691,0.6904,0.7173,0.8964,0.4445,0.7971,0.7029,0.7458
49,71,195235,0.7684,0.6894,0.7166,0.8959,0.4433,0.7961,0.7026,0.7450
50,70,195235,0.7682,0.6891,0.7164,0.8958,0.4424,0.7955,0.7032,0.7451
51,69,195235,0.7669,0.6874,0.7150,0.8948,0.4399,0.7945,0.7022,0.7432
52,68,195235,0.7655,0.6855,0.7133,0.8941,0.4374,0.7928,0.6999,0.7426
53,67,195235,0.7638,0.6832,0.7112,0.8932,0.4334,0.7914,0.6970,0.7410
54,66,195235,0.7627,0.6817,0.7100,0.8927,0.4319,0.7899,0.6958,0.7396
55,65,195235,0.7616,0.6803,0.7087,0.8923,0.4303,0.7885,0.6941,0.7384
56,64,195235,0.7606,0.6789,0.7074,0.8918,0.4293,0.7876,0.6913,0.7368
57,63,195235,0.7591,0.6769,0.7054,0.8912,0.4261,0.7858,0.6887,0.7353
58,62,195235,0.7584,0.6759,0.7045,0.8910,0.4253,0.7851,0.6870,0.7339
59,61,195235,0.7570,0.6741,0.7031,0.8900,0.4221,0.7839,0.6871,0.7326
60,60,195235,0.7694,0.6908,0.7162,0.9000,0.4366,0.7981,0.7073,0.7391
61,59,195235,0.7699,0.6914,0.7167,0.9000,0.4384,0.7984,0.7076,0.7392
62,58,195235,0.7699,0.6913,0.7167,0.8999,0.4390,0.7988,0.7081,0.7378
63,57,195235,0.7702,0.6917,0.7169,0.9005,0.4400,0.7987,0.7073,0.7380
64,56,195235,0.7699,0.6914,0.7165,0.9007,0.4397,0.7978,0.7061,0.7382
65,55,195235,0.7693,0.6907,0.7158,0.9004,0.4399,0.7972,0.7051,0.7365
66,54,195235,0.7692,0.6905,0.7158,0.8999,0.4408,0.7976,0.7053,0.7354
67,53,195235,0.7688,0.6900,0.7154,0.8995,0.4387,0.7976,0.7068,0.7342
68,52,195235,0.7690,0.6903,0.7153,0.9004,0.4401,0.7975,0.7056,0.7329
69,51,195235,0.7675,0.6883,0.7137,0.8994,0.4360,0.7965,0.7049,0.7317
70,50,195235,0.7670,0.6877,0.7129,0.8992,0.4363,0.7963,0.7035,0.7294
71,49,195235,0.7663,0.6867,0.7119,0.8992,0.4356,0.7950,0.7020,0.7276
72,48,195235,0.7651,0.6851,0.7104,0.8988,0.4319,0.7942,0.7015,0.7255
73,47,195235,0.7641,0.6837,0.7094,0.8975,0.4304,0.7934,0.7008,0.7247
74,46,195235,0.7630,0.6822,0.7077,0.8972,0.4280,0.7923,0.6992,0.7220
75,45,195235,0.7610,0.6796,0.7055,0.8966,0.4246,0.7900,0.6970,0.7196
76,44,195235,0.7592,0.6773,0.7033,0.8956,0.4208,0.7889,0.6952,0.7161
77,43,195235,0.7580,0.6757,0.7019,0.8950,0.4207,0.7871,0.6920,0.7146
78,42,195235,0.7568,0.6740,0.7004,0.8944,0.4179,0.7859,0.6915,0.7121
79,41,195235,0.7548,0.6714,0.6982,0.8939,0.4143,0.7838,0.6900,0.7089
80,40,195235,0.7527,0.6687,0.6958,0.8928,0.4103,0.7816,0.6869,0.7072
81,39,195235,0.7515,0.6670,0.6942,0.8922,0.4105,0.7803,0.6845,0.7036
82,38,195235,0.7491,0.6638,0.6912,0.8911,0.4044,0.7779,0.6823,0.7005
83,37,195235,0.7464,0.6603,0.6881,0.8898,0.3990,0.7752,0.6794,0.6971
84,36,195235,0.7451,0.6585,0.6863,0.8893,0.3977,0.7738,0.6772,0.6937
85,35,195235,0.7425,0.6550,0.6830,0.8882,0.3929,0.7712,0.6724,0.6904
86,34,195235,0.7410,0.6531,0.6813,0.8876,0.3905,0.7698,0.6705,0.6882
87,33,195235,0.7389,0.6503,0.6786,0.8867,0.3863,0.7678,0.6672,0.6850
88,32,195235,0.7368,0.6475,0.6761,0.8854,0.3831,0.7659,0.6651,0.6808
89,31,195235,0.7348,0.6449,0.6738,0.8847,0.3812,0.7634,0.6626,0.6771
