latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,1171020,0.7768,0.7008,0.7291,0.8974,0.4594,0.8031,0.7157,0.7701
1,119,1171020,0.7762,0.7000,0.7284,0.8972,0.4587,0.8026,0.7149,0.7686
2,118,1171020,0.7758,0.6994,0.7278,0.8969,0.4581,0.8021,0.7135,0.7685
3,117,1171020,0.7754,0.6988,0.7273,0.8968,0.4573,0.8016,0.7135,0.7675
4,116,1171020,0.7750,0.6983,0.7269,0.8967,0.4570,0.8010,0.7125,0.7673
5,115,1171020,0.7766,0.7004,0.7286,0.8976,0.4586,0.8030,0.7152,0.7686
6,114,1171020,0.7760,0.6997,0.7279,0.8972,0.4580,0.8026,0.7142,0.7676
7,113,1171020,0.7755,0.6990,0.7272,0.8969,0.4571,0.8020,0.7132,0.7670
8,112,1171020,0.7751,0.6985,0.7268,0.8969,0.4565,0.8013,0.7126,0.7666
9,111,1171020,0.7747,0.6979,0.7263,0.8968,0.4559,0.8009,0.7120,0.7659
10,110,1171020,0.7762,0.6999,0.7279,0.8977,0.4575,0.8027,0.7145,0.7671
11,109,1171020,0.7757,0.6993,0.7273,0.8974,0.4572,0.8024,0.7134,0.7661
12,108,1171020,0.7752,0.6985,0.7265,0.8971,0.4560,0.8019,0.7123,0.7654
13,107,1171020,0.7747,0.6979,0.7260,0.8969,0.4556,0.8012,0.7116,0.7648
14,106,1171020,0.7743,0.6974,0.7256,0.8968,0.4552,0.8006,0.7110,0.7643
15,105,1171020,0.7759,0.6995,0.7273,0.8978,0.4569,0.8027,0.7138,0.7652
16,104,1171020,0.7753,0.6988,0.7266,0.8976,0.4562,0.8019,0.7128,0.7647
17,103,1171020,0.7749,0.6982,0.7260,0.8972,0.4554,0.8017,0.7117,0.7639
18,102,1171020,0.7743,0.6974,0.7253,0.8970,0.4545,0.8009,0.7110,0.7629
19,101,1171020,0.7738,0.6967,0.7247,0.8969,0.4539,0.8003,0.7100,0.7624
20,100,1171020,0.7753,0.6987,0.7263,0.8979,0.4556,0.8022,0.7124,0.7635
21,99,1171020,0.7748,0.6980,0.7257,0.8976,0.4546,0.8017,0.7120,0.7627
22,98,1171020,0.7744,0.6975,0.7252,0.8973,0.4543,0.8013,0.7109,0.7621
23,97,1171020,0.7739,0.6968,0.7246,0.8971,0.4536,0.8007,0.7102,0.7613
24,96,1171020,0.7732,0.6959,0.7238,0.8970,0.4525,0.7997,0.7090,0.7606
25,95,1171020,0.7750,0.6983,0.7257,0.8981,0.4549,0.8019,0.7119,0.7616
26,94,1171020,0.7742,0.6973,0.7247,0.8976,0.4534,0.8012,0.7108,0.7607
27,93,1171020,0.7739,0.6967,0.7243,0.8973,0.4530,0.8008,0.7103,0.7600
28,92,1171020,0.7733,0.6959,0.7235,0.8972,0.4521,0.8000,0.7089,0.7593
29,91,1171020,0.7726,0.6951,0.7228,0.8969,0.4512,0.7993,0.7083,0.7584
30,90,1171020,0.7743,0.6973,0.7245,0.8980,0.4530,0.8015,0.7108,0.7592
31,89,1171020,0.7736,0.6964,0.7237,0.8976,0.4521,0.8007,0.7099,0.7584
32,88,1171020,0.7732,0.6958,0.7231,0.8973,0.4511,0.8004,0.7094,0.7575
33,87,1171020,0.7726,0.6950,0.7224,0.8970,0.4504,0.7997,0.7079,0.7567
34,86,1171020,0.7719,0.6941,0.7216,0.8969,0.4496,0.7987,0.7070,0.7560
35,85,1171020,0.7736,0.6964,0.7234,0.8981,0.4515,0.8008,0.7100,0.7567
36,84,1171020,0.7730,0.6956,0.7227,0.8977,0.4506,0.8003,0.7088,0.7560
37,83,1171020,0.7724,0.6948,0.7219,0.8974,0.4494,0.7997,0.7082,0.7549
38,82,1171020,0.7718,0.6940,0.7212,0.8972,0.4489,0.7988,0.7068,0.7545
39,81,1171020,0.7710,0.6929,0.7202,0.8969,0.4474,0.7978,0.7058,0.7534
40,80,1171020,0.7726,0.6950,0.7219,0.8981,0.4492,0.7998,0.7083,0.7539
41,79,1171020,0.7721,0.6943,0.7212,0.8976,0.4483,0.7995,0.7078,0.7529
42,78,1171020,0.7715,0.6935,0.7205,0.8973,0.4470,0.7989,0.7070,0.7522
43,77,1171020,0.7709,0.6927,0.7198,0.8971,0.4467,0.7982,0.7058,0.7510
44,76,1171020,0.7701,0.6918,0.7189,0.8967,0.4455,0.7974,0.7048,0.7502
45,75,1171020,0.7716,0.6937,0.7204,0.8979,0.4467,0.7993,0.7078,0.7506
46,74,1171020,0.7710,0.6928,0.7197,0.8974,0.4456,0.7986,0.7070,0.7497
47,73,1171020,0.7703,0.6919,0.7187,0.8971,0.4445,0.7979,0.7056,0.7486
48,72,1171020,0.7696,0.6911,0.7180,0.8969,0.4438,0.7973,0.7044,0.7475
49,71,1171020,0.7689,0.6900,0.7171,0.8964,0.4422,0.7965,0.7038,0.7466
50,70,1171020,0.7702,0.6919,0.7185,0.8977,0.4436,0.7980,0.7064,0.7470
51,69,1171020,0.7696,0.6910,0.7178,0.8972,0.4426,0.7976,0.7057,0.7458
52,68,1171020,0.7690,0.6902,0.7169,0.8970,0.4414,0.7969,0.7046,0.7448
53,67,1171020,0.7683,0.6893,0.7162,0.8966,0.4407,0.7963,0.7036,0.7437
54,66,1171020,0.7675,0.6882,0.7152,0.8962,0.4389,0.7954,0.7027,0.7426
55,65,1171020,0.7688,0.6899,0.7165,0.8974,0.4403,0.7969,0.7052,0.7428
56,64,1171020,0.7681,0.6890,0.7156,0.8970,0.4395,0.7963,0.7037,0.7417
57,63,1171020,0.7674,0.6880,0.7147,0.8968,0.4379,0.7955,0.7029,0.7403
58,62,1171020,0.7666,0.6870,0.7138,0.8964,0.4371,0.7949,0.7017,0.7390
59,61,1171020,0.7656,0.6857,0.7126,0.8960,0.4351,0.7938,0.7006,0.7378
60,60,1171020,0.7671,0.6877,0.7141,0.8973,0.4364,0.7956,0.7036,0.7378
61,59,1171020,0.7663,0.6866,0.7131,0.8968,0.4356,0.7947,0.7019,0.7367
62,58,1171020,0.7655,0.6856,0.7122,0.8965,0.4341,0.7941,0.7013,0.7349
63,57,1171020,0.7648,0.6846,0.7111,0.8962,0.4327,0.7933,0.6999,0.7336
64,56,1171020,0.7639,0.6834,0.7102,0.8957,0.4313,0.7924,0.6987,0.7327
