latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,1171020,0.7701,0.6923,0.7140,0.8937,0.4448,0.7992,0.6815,0.7507
1,119,1171020,0.7695,0.6915,0.7134,0.8932,0.4438,0.7987,0.6808,0.7503
2,118,1171020,0.7691,0.6910,0.7128,0.8930,0.4434,0.7982,0.6798,0.7498
3,117,1171020,0.7686,0.6903,0.7122,0.8928,0.4426,0.7976,0.6791,0.7491
4,116,1171020,0.7681,0.6896,0.7116,0.8925,0.4416,0.7971,0.6786,0.7483
5,115,1171020,0.7697,0.6917,0.7133,0.8936,0.4431,0.7990,0.6813,0.7494
6,114,1171020,0.7691,0.6910,0.7126,0.8932,0.4422,0.7985,0.6805,0.7489
7,113,1171020,0.7687,0.6904,0.7121,0.8930,0.4415,0.7979,0.6798,0.7485
8,112,1171020,0.7682,0.6897,0.7115,0.8926,0.4411,0.7974,0.6789,0.7477
9,111,1171020,0.7679,0.6894,0.7113,0.8924,0.4406,0.7971,0.6790,0.7472
10,110,1171020,0.7692,0.6911,0.7125,0.8936,0.4413,0.7987,0.6809,0.7482
11,109,1171020,0.7687,0.6903,0.7119,0.8931,0.4405,0.7981,0.6803,0.7473
12,108,1171020,0.7683,0.6898,0.7115,0.8928,0.4401,0.7978,0.6797,0.7469
13,107,1171020,0.7676,0.6889,0.7106,0.8924,0.4391,0.7972,0.6786,0.7459
14,106,1171020,0.7674,0.6886,0.7104,0.8923,0.4389,0.7967,0.6784,0.7456
15,105,1171020,0.7688,0.6905,0.7118,0.8934,0.4397,0.7986,0.6809,0.7463
16,104,1171020,0.7682,0.6897,0.7111,0.8930,0.4392,0.7979,0.6800,0.7457
17,103,1171020,0.7676,0.6889,0.7105,0.8927,0.4382,0.7972,0.6790,0.7452
18,102,1171020,0.7671,0.6883,0.7099,0.8923,0.4381,0.7968,0.6782,0.7443
19,101,1171020,0.7668,0.6878,0.7095,0.8923,0.4374,0.7964,0.6778,0.7437
20,100,1171020,0.7681,0.6896,0.7109,0.8932,0.4381,0.7980,0.6804,0.7445
21,99,1171020,0.7676,0.6889,0.7103,0.8928,0.4380,0.7975,0.6794,0.7436
22,98,1171020,0.7669,0.6880,0.7094,0.8926,0.4362,0.7968,0.6786,0.7429
23,97,1171020,0.7666,0.6876,0.7092,0.8922,0.4365,0.7965,0.6781,0.7424
24,96,1171020,0.7661,0.6869,0.7085,0.8921,0.4356,0.7958,0.6773,0.7417
25,95,1171020,0.7675,0.6887,0.7099,0.8931,0.4363,0.7977,0.6800,0.7421
26,94,1171020,0.7668,0.6878,0.7091,0.8927,0.4355,0.7970,0.6787,0.7413
27,93,1171020,0.7663,0.6872,0.7086,0.8924,0.4346,0.7965,0.6786,0.7408
28,92,1171020,0.7657,0.6864,0.7078,0.8920,0.4337,0.7959,0.6775,0.7400
29,91,1171020,0.7653,0.6859,0.7075,0.8918,0.4335,0.7955,0.6774,0.7393
30,90,1171020,0.7665,0.6875,0.7087,0.8930,0.4339,0.7969,0.6797,0.7397
31,89,1171020,0.7660,0.6868,0.7080,0.8925,0.4336,0.7965,0.6784,0.7389
32,88,1171020,0.7655,0.6861,0.7074,0.8923,0.4325,0.7958,0.6780,0.7382
33,87,1171020,0.7648,0.6852,0.7066,0.8918,0.4315,0.7952,0.6772,0.7374
34,86,1171020,0.7642,0.6844,0.7060,0.8916,0.4307,0.7946,0.6767,0.7362
35,85,1171020,0.7657,0.6863,0.7075,0.8927,0.4319,0.7964,0.6795,0.7368
36,84,1171020,0.7651,0.6856,0.7068,0.8923,0.4316,0.7958,0.6781,0.7361
37,83,1171020,0.7645,0.6849,0.7061,0.8921,0.4303,0.7952,0.6776,0.7355
38,82,1171020,0.7637,0.6838,0.7052,0.8916,0.4291,0.7943,0.6764,0.7347
39,81,1171020,0.7631,0.6829,0.7044,0.8912,0.4275,0.7938,0.6761,0.7335
40,80,1171020,0.7644,0.6847,0.7058,0.8923,0.4286,0.7954,0.6787,0.7340
41,79,1171020,0.7640,0.6842,0.7054,0.8920,0.4289,0.7951,0.6777,0.7330
42,78,1171020,0.7634,0.6833,0.7046,0.8919,0.4282,0.7942,0.6764,0.7320
43,77,1171020,0.7628,0.6825,0.7039,0.8914,0.4270,0.7936,0.6759,0.7317
44,76,1171020,0.7620,0.6815,0.7030,0.8909,0.4255,0.7930,0.6754,0.7303
45,75,1171020,0.7633,0.6832,0.7043,0.8921,0.4263,0.7945,0.6779,0.7306
46,74,1171020,0.7628,0.6825,0.7036,0.8918,0.4260,0.7940,0.6770,0.7294
47,73,1171020,0.7621,0.6817,0.7029,0.8917,0.4252,0.7931,0.6757,0.7286
48,72,1171020,0.7615,0.6808,0.7021,0.8911,0.4245,0.7926,0.6751,0.7275
49,71,1171020,0.7608,0.6799,0.7014,0.8907,0.4231,0.7920,0.6747,0.7264
50,70,1171020,0.7621,0.6816,0.7026,0.8918,0.4236,0.7937,0.6773,0.7265
51,69,1171020,0.7614,0.6806,0.7017,0.8915,0.4228,0.7930,0.6758,0.7251
52,68,1171020,0.7606,0.6796,0.7008,0.8912,0.4216,0.7921,0.6751,0.7242
53,67,1171020,0.7601,0.6789,0.7002,0.8908,0.4210,0.7916,0.6743,0.7233
54,66,1171020,0.7594,0.6780,0.6994,0.8904,0.4198,0.7910,0.6738,0.7219
55,65,1171020,0.7605,0.6795,0.7005,0.8914,0.4195,0.7925,0.6768,0.7223
56,64,1171020,0.7598,0.6786,0.6996,0.8911,0.4189,0.7918,0.6755,0.7207
57,63,1171020,0.7590,0.6775,0.6987,0.8906,0.4178,0.7909,0.6744,0.7197
58,62,1171020,0.7584,0.6767,0.6980,0.8904,0.4171,0.7903,0.6738,0.7185
59,61,1171020,0.7578,0.6759,0.6973,0.8901,0.4165,0.7896,0.6729,0.7175
60,60,1171020,0.7589,0.6773,0.6983,0.8910,0.4159,0.7913,0.6760,0.7174
61,59,1171020,0.7580,0.6762,0.6973,0.8906,0.4155,0.7904,0.6745,0.7155
62,58,1171020,0.7571,0.6750,0.6962,0.8902,0.4140,0.7894,0.6733,0.7143
63,57,1171020,0.7564,0.6741,0.6954,0.8897,0.4126,0.7888,0.6724,0.7135
64,56,1171020,0.7556,0.6730,0.6945,0.8893,0.4115,0.7881,0.6720,0.7116
65,55,1171020,0.7566,0.6744,0.6954,0.8904,0.4109,0.7895,0.6746,0.7113
66,54,1171020,0.7558,0.6733,0.6945,0.8899,0.4108,0.7887,0.6732,0.7097
67,53,1171020,0.7550,0.6722,0.6935,0.8896,0.4094,0.7878,0.6726,0.7082
68,52,1171020,0.7542,0.6712,0.6925,0.8892,0.4077,0.7872,0.6717,0.7069
69,51,1171020,0.7533,0.6700,0.6915,0.8886,0.4066,0.7863,0.6710,0.7052
70,50,1171020,0.7541,0.6711,0.6922,0.8897,0.4056,0.7877,0.6733,0.7048
71,49,1171020,0.7533,0.6700,0.6913,0.8893,0.4050,0.7869,0.6726,0.7028
72,48,1171020,0.7524,0.6688,0.6902,0.8889,0.4033,0.7858,0.6714,0.7014
73,47,1171020,0.7513,0.6673,0.6889,0.8884,0.4013,0.7849,0.6705,0.6992
74,46,1171020,0.7503,0.6661,0.6878,0.8878,0.4002,0.7840,0.6694,0.6978
75,45,1171020,0.7511,0.6671,0.6884,0.8889,0.3986,0.7852,0.6722,0.6969
76,44,1171020,0.7500,0.6657,0.6872,0.8883,0.3973,0.7842,0.6715,0.6947
77,43,1171020,0.7490,0.6644,0.6860,0.8880,0.3962,0.7830,0.6700,0.6929
78,42,1171020,0.7477,0.6627,0.6845,0.8873,0.3942,0.7819,0.6687,0.6904
79,41,1171020,0.7464,0.6610,0.6830,0.8866,0.3926,0.7805,0.6672,0.6883
80,40,1171020,0.7470,0.6618,0.6835,0.8879,0.3909,0.7814,0.6702,0.6871
81,39,1171020,0.7458,0.6602,0.6821,0.8873,0.3890,0.7804,0.6688,0.6849
82,38,1171020,0.7447,0.6587,0.6807,0.8867,0.3873,0.7793,0.6675,0.6826
83,37,1171020,0.7433,0.6570,0.6792,0.8859,0.3853,0.7780,0.6662,0.6803
84,36,1171020,0.7421,0.6553,0.6777,0.8852,0.3837,0.7768,0.6645,0.6782
85,35,1171020,0.7421,0.6554,0.6775,0.8862,0.3811,0.7773,0.6670,0.6760
86,34,1171020,0.7407,0.6536,0.6759,0.8854,0.3796,0.7760,0.6653,0.6733
87,33,1171020,0.7391,0.6516,0.6740,0.8847,0.3770,0.7745,0.6637,0.6704
88,32,1171020,0.7376,0.6495,0.6722,0.8840,0.3746,0.7730,0.6616,0.6677
89,31,1171020,0.7359,0.6473,0.6703,0.8831,0.3726,0.7714,0.6599,0.6647
90,30,1171020,0.7359,0.6474,0.6702,0.8840,0.3693,0.7720,0.6634,0.6621
91,29,1171020,0.7342,0.6451,0.6681,0.8832,0.3670,0.7705,0.6617,0.6583
92,28,1171020,0.7324,0.6428,0.6661,0.8824,0.3644,0.7687,0.6599,0.6551
93,27,1171020,0.7307,0.6406,0.6641,0.8813,0.3623,0.7671,0.6577,0.6521
94,26,1171020,0.7285,0.6377,0.6615,0.8802,0.3590,0.7649,0.6552,0.6484
95,25,1171020,0.7279,0.6371,0.6608,0.8809,0.3553,0.7649,0.6579,0.6448
96,24,1171020,0.7260,0.6346,0.6586,0.8799,0.3532,0.7632,0.6561,0.6406
97,23,1171020,0.7238,0.6318,0.6562,0.8791,0.3506,0.7607,0.6536,0.6367
98,22,1171020,0.7216,0.6288,0.6535,0.8780,0.3479,0.7584,0.6506,0.6326
99,21,1171020,0.7190,0.6255,0.6506,0.8769,0.3454,0.7557,0.6478,0.6272
100,20,1171020,0.7175,0.6236,0.6487,0.8771,0.3392,0.7549,0.6498,0.6223
101,19,1171020,0.7145,0.6198,0.6454,0.8759,0.3359,0.7520,0.6468,0.6164
102,18,1171020,0.7115,0.6159,0.6420,0.8745,0.3325,0.7489,0.6436,0.6105
103,17,1171020,0.7084,0.6120,0.6389,0.8731,0.3307,0.7457,0.6400,0.6051
104,16,1171020,0.7037,0.6062,0.6346,0.8706,0.3283,0.7404,0.6353,0.5984
105,15,1171020,0.7007,0.6024,0.6311,0.8698,0.3211,0.7378,0.6348,0.5918
106,14,1171020,0.6967,0.5973,0.6263,0.8681,0.3166,0.7335,0.6292,0.5843
107,13,1171020,0.6918,0.5911,0.6213,0.8658,0.3124,0.7284,0.6246,0.5754
108,12,1171020,0.6851,0.5831,0.6153,0.8619,0.3096,0.7206,0.6175,0.5669
109,11,1171020,0.6796,0.5761,0.6090,0.8596,0.3019,0.7144,0.6123,0.5565
110,10,1171020,0.6733,0.5681,0.6014,0.8571,0.2907,0.7071,0.6064,0.5458
111,9,1171020,0.6650,0.5579,0.5928,0.8525,0.2820,0.6979,0.5976,0.5341
112,8,1171020,0.6549,0.5455,0.5827,0.8475,0.2784,0.6846,0.5834,0.5199
113,7,1171020,0.6450,0.5332,0.5718,0.8415,0.2659,0.6731,0.5719,0.5065
114,6,1171020,0.6330,0.5181,0.5581,0.8357,0.2536,0.6562,0.5546,0.4905
115,5,1171020,0.6170,0.4980,0.5413,0.8238,0.2357,0.6402,0.5373,0.4695
116,4,1171020,0.5932,0.4694,0.5147,0.8098,0.2074,0.6067,0.5042,0.4455
117,3,1171020,0.5638,0.4340,0.4873,0.7829,0.1877,0.5762,0.4748,0.4149
118,2,1171020,0.5180,0.3803,0.4431,0.7406,0.1575,0.5223,0.4190,0.3763
119,1,1171020,0.4303,0.2823,0.3736,0.6261,0.1379,0.4474,0.3369,0.3196
