latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,147397,0.7785,0.6922,0.7278,0.7772,0.4036,0.8332,0.8484,0.7765
1,119,147397,0.7774,0.6907,0.7266,0.7761,0.4020,0.8321,0.8469,0.7758
2,118,147397,0.7764,0.6894,0.7253,0.7743,0.3992,0.8313,0.8467,0.7748
3,117,147397,0.7761,0.6888,0.7247,0.7747,0.3968,0.8309,0.8464,0.7748
4,116,147397,0.7745,0.6866,0.7226,0.7704,0.3935,0.8299,0.8459,0.7732
5,115,147397,0.7788,0.6925,0.7280,0.7783,0.4049,0.8337,0.8482,0.7750
6,114,147397,0.7779,0.6913,0.7268,0.7764,0.4029,0.8329,0.8471,0.7748
7,113,147397,0.7765,0.6895,0.7253,0.7743,0.4005,0.8316,0.8459,0.7740
8,112,147397,0.7764,0.6892,0.7248,0.7750,0.3978,0.8317,0.8467,0.7730
9,111,147397,0.7752,0.6875,0.7231,0.7703,0.3947,0.8309,0.8466,0.7728
10,110,147397,0.7788,0.6926,0.7279,0.7787,0.4055,0.8339,0.8475,0.7740
11,109,147397,0.7783,0.6918,0.7271,0.7775,0.4037,0.8335,0.8476,0.7731
12,108,147397,0.7770,0.6901,0.7255,0.7748,0.4014,0.8324,0.8465,0.7724
13,107,147397,0.7768,0.6897,0.7251,0.7760,0.3980,0.8319,0.8467,0.7729
14,106,147397,0.7756,0.6880,0.7232,0.7706,0.3950,0.8316,0.8469,0.7718
15,105,147397,0.7793,0.6932,0.7281,0.7791,0.4064,0.8347,0.8473,0.7731
16,104,147397,0.7789,0.6925,0.7273,0.7779,0.4039,0.8344,0.8473,0.7729
17,103,147397,0.7773,0.6904,0.7253,0.7745,0.4013,0.8328,0.8461,0.7721
18,102,147397,0.7768,0.6897,0.7248,0.7763,0.3982,0.8322,0.8464,0.7711
19,101,147397,0.7758,0.6882,0.7231,0.7720,0.3937,0.8323,0.8471,0.7703
20,100,147397,0.7791,0.6928,0.7275,0.7797,0.4047,0.8347,0.8467,0.7719
21,99,147397,0.7786,0.6921,0.7270,0.7785,0.4045,0.8344,0.8468,0.7710
22,98,147397,0.7777,0.6910,0.7255,0.7760,0.4006,0.8336,0.8464,0.7708
23,97,147397,0.7767,0.6896,0.7246,0.7774,0.3976,0.8324,0.8457,0.7701
24,96,147397,0.7762,0.6887,0.7232,0.7722,0.3946,0.8327,0.8463,0.7701
25,95,147397,0.7789,0.6926,0.7273,0.7799,0.4051,0.8349,0.8459,0.7705
26,94,147397,0.7784,0.6918,0.7268,0.7792,0.4056,0.8341,0.8459,0.7691
27,93,147397,0.7779,0.6911,0.7256,0.7767,0.4018,0.8338,0.8462,0.7693
28,92,147397,0.7767,0.6895,0.7244,0.7773,0.3981,0.8327,0.8456,0.7682
29,91,147397,0.7757,0.6881,0.7226,0.7728,0.3940,0.8326,0.8457,0.7679
30,90,147397,0.7790,0.6927,0.7272,0.7815,0.4049,0.8351,0.8459,0.7688
31,89,147397,0.7786,0.6920,0.7264,0.7799,0.4028,0.8346,0.8458,0.7688
32,88,147397,0.7778,0.6910,0.7254,0.7787,0.4009,0.8339,0.8456,0.7678
33,87,147397,0.7771,0.6900,0.7244,0.7780,0.3976,0.8333,0.8454,0.7678
34,86,147397,0.7756,0.6879,0.7221,0.7740,0.3920,0.8329,0.8454,0.7662
35,85,147397,0.7788,0.6923,0.7265,0.7819,0.4024,0.8352,0.8447,0.7682
36,84,147397,0.7784,0.6917,0.7260,0.7812,0.4017,0.8347,0.8450,0.7674
37,83,147397,0.7777,0.6909,0.7249,0.7785,0.3992,0.8340,0.8448,0.7678
38,82,147397,0.7767,0.6895,0.7238,0.7794,0.3952,0.8331,0.8450,0.7663
39,81,147397,0.7752,0.6873,0.7212,0.7744,0.3894,0.8328,0.8444,0.7651
40,80,147397,0.7781,0.6914,0.7256,0.7833,0.4004,0.8347,0.8436,0.7658
41,79,147397,0.7776,0.6907,0.7247,0.7810,0.3987,0.8345,0.8435,0.7658
42,78,147397,0.7769,0.6897,0.7235,0.7795,0.3949,0.8340,0.8443,0.7649
43,77,147397,0.7759,0.6884,0.7226,0.7798,0.3919,0.8329,0.8438,0.7645
44,76,147397,0.7746,0.6865,0.7203,0.7755,0.3874,0.8325,0.8433,0.7629
45,75,147397,0.7777,0.6909,0.7249,0.7839,0.3986,0.8346,0.8436,0.7638
46,74,147397,0.7769,0.6897,0.7238,0.7819,0.3964,0.8344,0.8435,0.7627
47,73,147397,0.7763,0.6889,0.7226,0.7805,0.3930,0.8337,0.8431,0.7630
48,72,147397,0.7750,0.6872,0.7212,0.7799,0.3885,0.8326,0.8433,0.7618
49,71,147397,0.7739,0.6855,0.7193,0.7767,0.3843,0.8320,0.8427,0.7609
50,70,147397,0.7773,0.6903,0.7241,0.7848,0.3956,0.8345,0.8436,0.7620
51,69,147397,0.7758,0.6883,0.7226,0.7839,0.3937,0.8334,0.8421,0.7601
52,68,147397,0.7749,0.6870,0.7211,0.7817,0.3898,0.8325,0.8417,0.7599
53,67,147397,0.7743,0.6862,0.7201,0.7804,0.3862,0.8321,0.8421,0.7599
54,66,147397,0.7732,0.6845,0.7182,0.7770,0.3815,0.8321,0.8417,0.7585
55,65,147397,0.7760,0.6886,0.7225,0.7848,0.3922,0.8338,0.8421,0.7594
56,64,147397,0.7754,0.6877,0.7218,0.7842,0.3918,0.8331,0.8411,0.7590
57,63,147397,0.7744,0.6864,0.7203,0.7827,0.3875,0.8324,0.8413,0.7577
58,62,147397,0.7735,0.6851,0.7190,0.7819,0.3827,0.8319,0.8412,0.7575
59,61,147397,0.7722,0.6833,0.7171,0.7787,0.3791,0.8312,0.8404,0.7562
60,60,147397,0.7751,0.6873,0.7212,0.7861,0.3887,0.8337,0.8411,0.7562
61,59,147397,0.7743,0.6861,0.7204,0.7858,0.3884,0.8326,0.8399,0.7552
62,58,147397,0.7730,0.6845,0.7186,0.7825,0.3842,0.8316,0.8396,0.7551
63,57,147397,0.7720,0.6831,0.7173,0.7826,0.3791,0.8311,0.8399,0.7538
64,56,147397,0.7709,0.6815,0.7154,0.7790,0.3755,0.8307,0.8386,0.7530
65,55,147397,0.7734,0.6850,0.7193,0.7870,0.3851,0.8325,0.8396,0.7526
66,54,147397,0.7718,0.6829,0.7176,0.7850,0.3823,0.8312,0.8384,0.7510
67,53,147397,0.7712,0.6820,0.7165,0.7833,0.3787,0.8309,0.8393,0.7502
68,52,147397,0.7696,0.6797,0.7144,0.7820,0.3735,0.8296,0.8384,0.7486
69,51,147397,0.7684,0.6781,0.7128,0.7802,0.3702,0.8290,0.8370,0.7474
70,50,147397,0.7710,0.6818,0.7165,0.7867,0.3790,0.8310,0.8382,0.7478
71,49,147397,0.7689,0.6789,0.7143,0.7851,0.3756,0.8293,0.8361,0.7453
72,48,147397,0.7681,0.6778,0.7129,0.7827,0.3713,0.8290,0.8368,0.7445
73,47,147397,0.7666,0.6758,0.7111,0.7820,0.3660,0.8275,0.8365,0.7437
74,46,147397,0.7648,0.6732,0.7085,0.7778,0.3616,0.8269,0.8348,0.7414
75,45,147397,0.7669,0.6763,0.7120,0.7850,0.3705,0.8283,0.8347,0.7416
76,44,147397,0.7654,0.6744,0.7104,0.7840,0.3668,0.8272,0.8344,0.7396
