latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,147397,0.7734,0.6859,0.7205,0.7469,0.3711,0.8277,0.8346,0.8222
1,119,147397,0.7734,0.6862,0.7213,0.7558,0.3665,0.8265,0.8367,0.8210
2,118,147397,0.7742,0.6872,0.7224,0.7593,0.3691,0.8268,0.8363,0.8208
3,117,147397,0.7737,0.6866,0.7217,0.7602,0.3661,0.8263,0.8362,0.8195
4,116,147397,0.7737,0.6865,0.7213,0.7507,0.3711,0.8284,0.8360,0.8201
5,115,147397,0.7786,0.6933,0.7273,0.7639,0.3802,0.8315,0.8382,0.8226
6,114,147397,0.7787,0.6934,0.7272,0.7647,0.3802,0.8316,0.8370,0.8226
7,113,147397,0.7786,0.6932,0.7269,0.7635,0.3794,0.8316,0.8378,0.8220
8,112,147397,0.7753,0.6898,0.7261,0.7706,0.3767,0.8260,0.8357,0.8216
9,111,147397,0.7755,0.6903,0.7260,0.7735,0.3728,0.8257,0.8366,0.8215
10,110,147397,0.7797,0.6959,0.7309,0.7861,0.3816,0.8280,0.8359,0.8231
11,109,147397,0.7797,0.6960,0.7309,0.7865,0.3804,0.8281,0.8362,0.8231
12,108,147397,0.7797,0.6961,0.7308,0.7848,0.3808,0.8279,0.8358,0.8246
13,107,147397,0.7800,0.6964,0.7311,0.7867,0.3818,0.8281,0.8359,0.8230
14,106,147397,0.7797,0.6960,0.7302,0.7855,0.3788,0.8286,0.8361,0.8221
15,105,147397,0.7819,0.6990,0.7330,0.7895,0.3852,0.8302,0.8362,0.8241
16,104,147397,0.7822,0.6994,0.7333,0.7908,0.3848,0.8306,0.8365,0.8239
17,103,147397,0.7815,0.6985,0.7325,0.7883,0.3838,0.8298,0.8362,0.8246
18,102,147397,0.7818,0.6989,0.7330,0.7888,0.3862,0.8300,0.8355,0.8243
19,101,147397,0.7820,0.6991,0.7325,0.7882,0.3825,0.8307,0.8370,0.8243
20,100,147397,0.7830,0.7004,0.7340,0.7913,0.3858,0.8315,0.8367,0.8246
21,99,147397,0.7837,0.7015,0.7347,0.7922,0.3875,0.8321,0.8365,0.8256
22,98,147397,0.7834,0.7010,0.7343,0.7906,0.3867,0.8316,0.8369,0.8259
23,97,147397,0.7834,0.7010,0.7344,0.7917,0.3882,0.8316,0.8357,0.8251
24,96,147397,0.7835,0.7011,0.7338,0.7895,0.3845,0.8324,0.8376,0.8250
25,95,147397,0.7841,0.7020,0.7349,0.7916,0.3877,0.8327,0.8367,0.8259
26,94,147397,0.7843,0.7022,0.7350,0.7927,0.3873,0.8329,0.8367,0.8257
27,93,147397,0.7845,0.7025,0.7352,0.7917,0.3875,0.8328,0.8369,0.8270
28,92,147397,0.7846,0.7026,0.7351,0.7915,0.3876,0.8332,0.8365,0.8267
29,91,147397,0.7844,0.7024,0.7348,0.7917,0.3864,0.8332,0.8368,0.8261
30,90,147397,0.7851,0.7033,0.7356,0.7931,0.3882,0.8338,0.8363,0.8269
31,89,147397,0.7850,0.7032,0.7357,0.7937,0.3884,0.8336,0.8362,0.8266
32,88,147397,0.7853,0.7035,0.7356,0.7916,0.3883,0.8338,0.8367,0.8275
33,87,147397,0.7859,0.7043,0.7363,0.7937,0.3895,0.8344,0.8364,0.8274
34,86,147397,0.7859,0.7043,0.7360,0.7924,0.3884,0.8347,0.8365,0.8279
35,85,147397,0.7860,0.7044,0.7365,0.7931,0.3914,0.8344,0.8355,0.8282
36,84,147397,0.7861,0.7046,0.7365,0.7930,0.3903,0.8348,0.8357,0.8285
37,83,147397,0.7861,0.7046,0.7364,0.7932,0.3899,0.8345,0.8361,0.8283
38,82,147397,0.7865,0.7052,0.7369,0.7940,0.3904,0.8349,0.8364,0.8290
39,81,147397,0.7862,0.7048,0.7361,0.7928,0.3875,0.8351,0.8364,0.8288
40,80,147397,0.7864,0.7050,0.7366,0.7936,0.3904,0.8349,0.8353,0.8287
41,79,147397,0.7865,0.7051,0.7365,0.7940,0.3894,0.8353,0.8354,0.8286
42,78,147397,0.7868,0.7055,0.7369,0.7942,0.3903,0.8351,0.8358,0.8293
43,77,147397,0.7867,0.7054,0.7370,0.7954,0.3901,0.8351,0.8354,0.8290
44,76,147397,0.7866,0.7053,0.7364,0.7931,0.3879,0.8357,0.8362,0.8291
45,75,147397,0.7863,0.7048,0.7360,0.7933,0.3879,0.8354,0.8349,0.8283
46,74,147397,0.7870,0.7058,0.7368,0.7942,0.3889,0.8359,0.8359,0.8292
