latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,195235,0.7706,0.6933,0.7192,0.9086,0.4558,0.7865,0.6965,0.7485
1,119,195235,0.7715,0.6945,0.7189,0.9108,0.4560,0.7855,0.6937,0.7484
2,118,195235,0.7719,0.6950,0.7188,0.9113,0.4554,0.7859,0.6938,0.7478
3,117,195235,0.7715,0.6947,0.7183,0.9120,0.4555,0.7845,0.6922,0.7476
4,116,195235,0.7721,0.6954,0.7202,0.9109,0.4600,0.7864,0.6947,0.7490
5,115,195235,0.7721,0.6955,0.7201,0.9116,0.4607,0.7852,0.6936,0.7493
6,114,195235,0.7719,0.6953,0.7197,0.9116,0.4598,0.7852,0.6925,0.7492
7,113,195235,0.7719,0.6953,0.7197,0.9118,0.4600,0.7849,0.6927,0.7492
8,112,195235,0.7731,0.6967,0.7203,0.9122,0.4603,0.7864,0.6926,0.7500
9,111,195235,0.7729,0.6966,0.7200,0.9129,0.4614,0.7847,0.6904,0.7505
10,110,195235,0.7737,0.6976,0.7208,0.9129,0.4620,0.7863,0.6923,0.7506
11,109,195235,0.7736,0.6973,0.7204,0.9132,0.4610,0.7858,0.6916,0.7504
12,108,195235,0.7739,0.6978,0.7206,0.9134,0.4626,0.7860,0.6902,0.7509
13,107,195235,0.7734,0.6971,0.7199,0.9135,0.4607,0.7853,0.6893,0.7506
14,106,195235,0.7739,0.6978,0.7207,0.9135,0.4629,0.7856,0.6902,0.7510
15,105,195235,0.7736,0.6974,0.7201,0.9138,0.4607,0.7852,0.6894,0.7513
16,104,195235,0.7734,0.6971,0.7200,0.9135,0.4608,0.7849,0.6898,0.7509
17,103,195235,0.7733,0.6970,0.7198,0.9134,0.4606,0.7849,0.6889,0.7511
18,102,195235,0.7733,0.6969,0.7196,0.9136,0.4596,0.7847,0.6891,0.7509
19,101,195235,0.7733,0.6970,0.7197,0.9130,0.4592,0.7852,0.6891,0.7520
20,100,195235,0.7732,0.6968,0.7196,0.9130,0.4604,0.7847,0.6887,0.7515
21,99,195235,0.7727,0.6961,0.7191,0.9128,0.4596,0.7838,0.6877,0.7515
22,98,195235,0.7725,0.6959,0.7189,0.9125,0.4593,0.7839,0.6874,0.7514
23,97,195235,0.7721,0.6954,0.7184,0.9125,0.4592,0.7832,0.6867,0.7506
24,96,195235,0.7718,0.6950,0.7181,0.9121,0.4592,0.7829,0.6858,0.7504
25,95,195235,0.7716,0.6946,0.7177,0.9118,0.4585,0.7828,0.6845,0.7509
26,94,195235,0.7703,0.6930,0.7165,0.9115,0.4556,0.7807,0.6840,0.7507
27,93,195235,0.7701,0.6927,0.7162,0.9112,0.4562,0.7808,0.6827,0.7499
28,92,195235,0.7694,0.6917,0.7152,0.9111,0.4546,0.7799,0.6810,0.7495
29,91,195235,0.7693,0.6916,0.7152,0.9106,0.4540,0.7799,0.6810,0.7504
30,90,195235,0.7694,0.6916,0.7146,0.9130,0.4478,0.7797,0.6830,0.7497
31,89,195235,0.7699,0.6923,0.7152,0.9134,0.4482,0.7804,0.6848,0.7493
32,88,195235,0.7706,0.6932,0.7160,0.9139,0.4500,0.7808,0.6851,0.7501
33,87,195235,0.7715,0.6945,0.7173,0.9141,0.4528,0.7819,0.6869,0.7507
34,86,195235,0.7719,0.6950,0.7177,0.9144,0.4541,0.7823,0.6868,0.7508
35,85,195235,0.7731,0.6965,0.7190,0.9147,0.4572,0.7837,0.6889,0.7506
36,84,195235,0.7733,0.6969,0.7192,0.9150,0.4569,0.7840,0.6890,0.7512
37,83,195235,0.7746,0.6986,0.7207,0.9157,0.4603,0.7852,0.6903,0.7521
38,82,195235,0.7749,0.6990,0.7210,0.9158,0.4616,0.7855,0.6903,0.7519
39,81,195235,0.7749,0.6991,0.7210,0.9161,0.4619,0.7854,0.6896,0.7521
40,80,195235,0.7753,0.6995,0.7214,0.9160,0.4624,0.7860,0.6904,0.7521
41,79,195235,0.7757,0.7001,0.7220,0.9161,0.4642,0.7863,0.6909,0.7526
42,78,195235,0.7760,0.7005,0.7223,0.9162,0.4644,0.7866,0.6913,0.7528
43,77,195235,0.7761,0.7005,0.7222,0.9164,0.4639,0.7868,0.6913,0.7527
44,76,195235,0.7759,0.7003,0.7221,0.9164,0.4654,0.7862,0.6898,0.7526
45,75,195235,0.7765,0.7011,0.7228,0.9165,0.4669,0.7868,0.6903,0.7534
46,74,195235,0.7766,0.7013,0.7229,0.9166,0.4665,0.7871,0.6906,0.7536
47,73,195235,0.7763,0.7008,0.7224,0.9163,0.4655,0.7870,0.6904,0.7530
48,72,195235,0.7759,0.7003,0.7219,0.9162,0.4637,0.7866,0.6899,0.7529
49,71,195235,0.7762,0.7007,0.7223,0.9160,0.4659,0.7870,0.6894,0.7531
50,70,195235,0.7758,0.7001,0.7217,0.9155,0.4645,0.7868,0.6886,0.7531
51,69,195235,0.7757,0.7001,0.7217,0.9156,0.4641,0.7868,0.6891,0.7531
52,68,195235,0.7751,0.6992,0.7210,0.9151,0.4630,0.7860,0.6881,0.7528
53,67,195235,0.7749,0.6989,0.7210,0.9148,0.4629,0.7858,0.6883,0.7530
54,66,195235,0.7746,0.6986,0.7205,0.9145,0.4619,0.7859,0.6881,0.7523
55,65,195235,0.7742,0.6980,0.7200,0.9142,0.4619,0.7852,0.6864,0.7521
56,64,195235,0.7737,0.6973,0.7194,0.9141,0.4603,0.7843,0.6855,0.7526
57,63,195235,0.7727,0.6961,0.7183,0.9135,0.4587,0.7834,0.6837,0.7523
58,62,195235,0.7723,0.6955,0.7178,0.9132,0.4583,0.7828,0.6831,0.7516
59,61,195235,0.7718,0.6947,0.7173,0.9127,0.4569,0.7823,0.6829,0.7517
60,60,195235,0.7642,0.6847,0.7084,0.9110,0.4321,0.7741,0.6793,0.7453
61,59,195235,0.7648,0.6854,0.7092,0.9112,0.4349,0.7744,0.6797,0.7455
62,58,195235,0.7655,0.6864,0.7097,0.9118,0.4361,0.7754,0.6804,0.7450
63,57,195235,0.7664,0.6877,0.7110,0.9121,0.4388,0.7761,0.6815,0.7465
64,56,195235,0.7668,0.6882,0.7113,0.9127,0.4395,0.7767,0.6814,0.7462
