latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
0,120,1171020,0.7658,0.6870,0.7142,0.9051,0.4496,0.7811,0.6904,0.7447
1,119,1171020,0.7664,0.6879,0.7136,0.9074,0.4493,0.7798,0.6866,0.7450
2,118,1171020,0.7667,0.6881,0.7136,0.9077,0.4491,0.7798,0.6866,0.7448
3,117,1171020,0.7662,0.6875,0.7128,0.9083,0.4483,0.7782,0.6847,0.7445
4,116,1171020,0.7656,0.6869,0.7135,0.9067,0.4499,0.7791,0.6865,0.7452
5,115,1171020,0.7676,0.6896,0.7154,0.9088,0.4538,0.7802,0.6873,0.7469
6,114,1171020,0.7679,0.6899,0.7155,0.9087,0.4537,0.7809,0.6878,0.7467
7,113,1171020,0.7678,0.6899,0.7154,0.9090,0.4538,0.7805,0.6871,0.7468
8,112,1171020,0.7683,0.6905,0.7154,0.9093,0.4526,0.7811,0.6865,0.7474
9,111,1171020,0.7682,0.6904,0.7148,0.9102,0.4532,0.7795,0.6833,0.7478
10,110,1171020,0.7704,0.6932,0.7171,0.9113,0.4554,0.7824,0.6871,0.7491
11,109,1171020,0.7705,0.6932,0.7170,0.9117,0.4555,0.7820,0.6865,0.7491
12,108,1171020,0.7706,0.6933,0.7169,0.9117,0.4557,0.7822,0.6857,0.7492
13,107,1171020,0.7703,0.6931,0.7166,0.9119,0.4552,0.7815,0.6851,0.7493
14,106,1171020,0.7706,0.6934,0.7169,0.9118,0.4562,0.7819,0.6852,0.7496
15,105,1171020,0.7716,0.6947,0.7180,0.9126,0.4573,0.7830,0.6869,0.7503
16,104,1171020,0.7717,0.6948,0.7181,0.9126,0.4574,0.7831,0.6869,0.7504
17,103,1171020,0.7715,0.6947,0.7179,0.9126,0.4574,0.7828,0.6861,0.7505
18,102,1171020,0.7715,0.6946,0.7178,0.9126,0.4571,0.7827,0.6864,0.7503
19,101,1171020,0.7718,0.6950,0.7182,0.9126,0.4583,0.7829,0.6866,0.7508
20,100,1171020,0.7724,0.6958,0.7188,0.9134,0.4588,0.7834,0.6873,0.7510
21,99,1171020,0.7725,0.6959,0.7188,0.9133,0.4586,0.7835,0.6874,0.7512
